Name,Mean (ps),2*Stdev (ps)
All.allSame,4832077026,433442888
All.append,6298828125,549845620
All.clamp,5200195312,444593202
All.compress,30273437500,1341640786
All.concat,13159179687,1099691242
All.cons,609588623,37777320
All.copyFirst,1831054687,110165652
All.copyLast,4043579101,178405032
All.depth,2001953125,193035554
All.drop,6811523437,553776210
All.dupli,2688598632,232505212
All.head,784301757,55574150
All.index,5822753906,222296600
All.init,11499023437,553776210
All.inorder,39965820312,3061054776
All.insert,13964843750,772142222
All.last,997924804,55574150
All.length,2624511718,83852548
All.maximum,2447509765,164757156
All.member,4461669921,138444052
All.nub,11621093750,889186406
All.null,711822509,65073072
All.ordNub,182812500000,17720838720
All.partitionEithers,23535156250,2300704316
All.pivot,19213867187,772142222
All.preorder,43701171875,1762650460
All.replicate,1501464843,138444052
All.reverse,6933593750,553776210
All.shiftl,7470703125,553776210
All.shiftr,9759521484,138444052
All.size,2065277099,44478426
All.snoc,3350830078,165739804
All.splitAt,15332031250,1325918432
All.swap,116729736,10358736
All.tail,520324707,41434950
All.take,4240322113,101963280
All.unzip,2563476562,167705098
